category,tag,domain,source,environment,scenario,file
mass/thin,light,organic,bark peel,reef,a tiny piece of bark peeling off a branch over a reef,light/light_organic_0472.mp3
mass/thin,light,organic,fungus piece,crater,a small piece of dried fungus dropping onto moss in a crater,light/light_organic_0473.mp3
mass/thin,light,organic,snake skin piece,plateau,a single piece of shed snake skin falling onto a rock on a plateau,light/light_organic_0474.mp3
mass/thin,light,organic,sap drop,forest,a tiny dried drop of sap dropping onto a leaf in a forest,light/light_organic_0475.mp3
mass/thin,light,organic,flower petal,desert,a small flower petal settling onto the ground in a desert,light/light_organic_0476.mp3
mass/thin,light,domestic,cotton swab,tundra,a single cotton swab dropping onto a tile floor on a tundra,light/light_domestic_0477.mp3
mass/thin,light,domestic,toothpick,cave,a small wooden toothpick falling onto a table in a cave,light/light_domestic_0478.mp3
mass/thin,light,domestic,rice grain,ocean,a single grain of rice dropping into a plastic bowl on the ocean,light/light_domestic_0479.mp3
mass/thin,light,domestic,styrofoam peanut,alley,a tiny styrofoam peanut landing on a cardboard box in an alley,light/light_domestic_0480.mp3
mass/thin,light,domestic,confetti,meadow,a single piece of confetti dropping onto a wooden floor in a meadow,light/light_domestic_0481.mp3
mass/thin,light,domestic,bread tag,swamp,a small plastic bread tag falling onto a counter in a swamp,light/light_domestic_0482.mp3
mass/thin,light,domestic,paper chad,volcano,a single paper chad dropping onto a desk near a volcano,light/light_domestic_0483.mp3
mass/thin,light,domestic,lint piece,highway,a tiny piece of lint falling onto a jacket on a highway,light/light_domestic_0484.mp3
mass/thin,light,domestic,foam earplug,rooftop,a small foam earplug dropping onto concrete on a rooftop,light/light_domestic_0485.mp3
mass/thin,light,domestic,pasta piece,underwater,a single small piece of dried pasta falling onto a plate underwater,light/light_domestic_0486.mp3
mass/thin,light,domestic,plastic bead,marsh,a tiny plastic bead dropping onto a glass table in a marsh,light/light_domestic_0487.mp3
mass/thin,light,domestic,rubber band,prairie,a small rubber band landing on a wooden floor on a prairie,light/light_domestic_0488.mp3
mass/thin,light,domestic,sequin,glacier,a single sequin dropping onto a metal tray on a glacier,light/light_domestic_0489.mp3
mass/thin,light,domestic,tinsel piece,cliff,a tiny piece of tinsel falling onto a carpet on a cliff,light/light_domestic_0490.mp3
mass/thin,light,domestic,paperclip,canyon,a small paperclip dropping onto a ceramic mug in a canyon,light/light_domestic_0491.mp3
mass/thin,light,domestic,thread piece,jungle,a single piece of thread falling onto a fabric couch in a jungle,light/light_domestic_0492.mp3
mass/thin,light,domestic,plastic crumb,trench,a tiny plastic crumb dropping onto a tin sheet in a trench,light/light_domestic_0493.mp3
mass/thin,light,electronic,smd resistor,dunes,a micro surface mount resistor dropping onto a workbench on the dunes,light/light_electronic_0494.mp3
mass/thin,light,electronic,led leg,beach,a tiny cut led leg falling onto a metal plate on a beach,light/light_electronic_0495.mp3
mass/thin,light,electronic,copper strand,wasteland,a single strand of copper wire dropping onto a circuit board in a wasteland,light/light_electronic_0496.mp3
mass/thin,light,electronic,solder bead,ravine,a small bead of solder bouncing off a table in a ravine,light/light_electronic_0497.mp3
mass/thin,light,electronic,plastic jumper,reef,a tiny plastic jumper dropping onto a tile floor over a reef,light/light_electronic_0498.mp3
mass/thin,light,electronic,heat shrink piece,crater,a small piece of heat shrink falling onto a wooden desk in a crater,light/light_electronic_0499.mp3
mass/thin,light,electronic,microchip pin,plateau,a single microchip pin snapping off and falling on a plateau,light/light_electronic_0500.mp3
mass/thin,light,electronic,electrical tape piece,forest,a tiny piece of electrical tape dropping onto concrete in a forest,light/light_electronic_0501.mp3
mass/thin,light,electronic,keycap piece,desert,a small piece of a plastic keycap falling onto a carpet in a desert,light/light_electronic_0502.mp3
mass/thin,light,electronic,wire tie piece,tundra,a single clipped wire tie dropping onto a floor on a tundra,light/light_electronic_0503.mp3
mass/thin,light,electronic,insulation piece,cave,a tiny piece of wire insulation falling onto a workbench in a cave,light/light_electronic_0504.mp3
mass/thin,light,electronic,copper contact,ocean,a small copper contact dropping onto a metal chassis on the ocean,light/light_electronic_0505.mp3
mass/thin,light,electronic,silica gel bead,alley,a single silica gel bead bouncing on a glass table in an alley,light/light_electronic_0506.mp3
mass/thin,light,electronic,plastic housing piece,meadow,a tiny piece of plastic housing falling off a remote in a meadow,light/light_electronic_0507.mp3
mass/thin,light,electronic,rubber foot,swamp,a small rubber foot dropping off a laptop base in a swamp,light/light_electronic_0508.mp3
mass/thin,light,electronic,fiberglass dust,volcano,a single speck of fiberglass dust settling on a screen near a volcano,light/light_electronic_0509.mp3
mass/thin,light,electronic,metal contact,highway,a tiny metal contact dropping onto a circuit board on a highway,light/light_electronic_0510.mp3
mass/thin,compact,musical,music stand,rooftop,a collapsed metal music stand dropping onto a floor on a rooftop,compact/compact_musical_0410.mp3
mass/thin,compact,musical,accordion,underwater,a tightly folded accordion squeezing shut underwater,compact/compact_musical_0411.mp3
mass/thin,compact,musical,snare strainer,marsh,a severely compressed snare strainer pulling tight against a drum in a marsh,compact/compact_musical_0412.mp3
mass/thin,compact,musical,drum case,prairie,a densely packed drum case zipping closed on a prairie,compact/compact_musical_0413.mp3
mass/thin,compact,musical,guitar string,glacier,a tightly coiled guitar string unspooling suddenly on a glacier,compact/compact_musical_0414.mp3
mass/thin,compact,musical,brass mute,cliff,a crushed brass mute dropping onto a stage floor on a cliff,compact/compact_musical_0415.mp3
mass/thin,compact,musical,metronome,canyon,a miniature pocket metronome ticking rapidly in a canyon,compact/compact_musical_0416.mp3
mass/thin,compact,musical,drum mat,jungle,a tightly rolled felt drum mat hitting the floor in a jungle,compact/compact_musical_0417.mp3
mass/thin,compact,musical,yarn mallet,trench,a densely wrapped yarn mallet striking a marimba bar in a trench,compact/compact_musical_0418.mp3
mass/thin,compact,musical,bellows,dunes,a severely compressed harmonium bellows pushing air on the dunes,compact/compact_musical_0419.mp3
mass/thin,compact,musical,piano wire,beach,a tightly coiled piano wire snapping back into a coil on a beach,compact/compact_musical_0420.mp3
mass/thin,compact,musical,kazoo,wasteland,a crushed metal kazoo dropping onto a table in a wasteland,compact/compact_musical_0421.mp3
mass/thin,compact,musical,harmonica,ravine,a miniature plastic harmonica clattering against a wall in a ravine,compact/compact_musical_0422.mp3
mass/thin,compact,musical,rosin cake,reef,a tightly packed rosin cake dropping onto a wooden floor over a reef,compact/compact_musical_0423.mp3
mass/thin,compact,musical,drum mute,crater,a severely compressed foam drum mute springing back to shape in a crater,compact/compact_musical_0424.mp3
mass/thin,compact,musical,sheet music,plateau,a tightly rolled bundle of sheet music hitting a music stand on a plateau,compact/compact_musical_0425.mp3
mass/thin,compact,musical,woodblock,forest,a densely packed hardwood woodblock struck with a mallet in a forest,compact/compact_musical_0426.mp3
mass/thin,compact,mechanical,measuring tape,desert,a retracted metal measuring tape snapping into its housing in a desert,compact/compact_mechanical_0427.mp3
mass/thin,compact,mechanical,pocket knife,tundra,a tightly folded pocket knife clicking shut on a tundra,compact/compact_mechanical_0428.mp3
mass/thin,compact,mechanical,steel spring,cave,a severely compressed steel spring releasing violently in a cave,compact/compact_mechanical_0429.mp3
mass/thin,compact,mechanical,metal cube,ocean,a dense solid metal cube dropping onto an iron plate on the ocean,compact/compact_mechanical_0430.mp3
mass/thin,compact,mechanical,copper tubing,alley,a tightly coiled copper tubing bundle clanking onto concrete in an alley,compact/compact_mechanical_0431.mp3
mass/thin,compact,mechanical,aluminum radiator,meadow,a crushed aluminum radiator scraping across asphalt in a meadow,compact/compact_mechanical_0432.mp3
mass/thin,compact,mechanical,ball bearing,swamp,a miniature precision ball bearing rolling on a glass plate in a swamp,compact/compact_mechanical_0433.mp3
mass/thin,compact,mechanical,gear cluster,volcano,a tightly packed gear cluster grinding slightly near a volcano,compact/compact_mechanical_0434.mp3
mass/thin,compact,mechanical,pneumatic cylinder,highway,a severely compressed pneumatic cylinder bottoming out on a highway,compact/compact_mechanical_0435.mp3
mass/thin,compact,mechanical,metal scaffolding,rooftop,a tightly folded metal scaffolding joint clicking shut on a rooftop,compact/compact_mechanical_0436.mp3
mass/thin,compact,mechanical,scrap iron,underwater,a dense block of scrap iron plunging onto a scale underwater,compact/compact_mechanical_0437.mp3
mass/thin,compact,mechanical,steel cable,marsh,a tightly coiled steel cable bundle dropping onto wood in a marsh,compact/compact_mechanical_0438.mp3
mass/thin,compact,mechanical,metal filter,prairie,a crushed metal filter popping out of a casing on a prairie,compact/compact_mechanical_0439.mp3
mass/thin,compact,mechanical,brass padlock,glacier,a miniature brass padlock snapping shut on a glacier,compact/compact_mechanical_0440.mp3
mass/thin,compact,mechanical,wire spool,cliff,a tightly packed wire spool hitting the ground on a cliff,compact/compact_mechanical_0441.mp3
mass/thin,compact,mechanical,shock absorber,canyon,a severely compressed shock absorber releasing air in a canyon,compact/compact_mechanical_0442.mp3
mass/thin,compact,mechanical,steel ladder,jungle,a tightly folded steel ladder collapsing fully in a jungle,compact/compact_mechanical_0443.mp3
mass/thin,compact,environmental,snowball,trench,a tightly packed snowball striking a brick wall in a trench,compact/compact_environmental_0444.mp3
mass/thin,compact,environmental,hard clay,dunes,a dense lump of hard clay dropping onto rock on the dunes,compact/compact_environmental_0445.mp3
mass/thin,compact,environmental,sandstone block,beach,a severely compressed sandstone block fracturing on a beach,compact/compact_environmental_0446.mp3
mass/thin,compact,environmental,coal piece,wasteland,a crushed piece of coal grinding against another stone in a wasteland,compact/compact_environmental_0447.mp3
mass/thin,compact,environmental,dried vine,ravine,a tightly coiled dried vine snapping under pressure in a ravine,compact/compact_environmental_0448.mp3
mass/thin,compact,environmental,frozen peat,reef,a dense lump of frozen peat striking the earth over a reef,compact/compact_environmental_0449.mp3
mass/thin,compact,environmental,ice block,crater,a severely compressed block of ice cracking in a crater,compact/compact_environmental_0450.mp3
mass/thin,compact,environmental,dirt clod,plateau,a tightly packed dirt clod shattering on concrete on a plateau,compact/compact_environmental_0451.mp3
mass/thin,compact,environmental,granite piece,forest,a dense piece of granite dropping onto another rock in a forest,compact/compact_environmental_0452.mp3
mass/thin,compact,environmental,limestone pebble,desert,a crushed limestone pebble scattering on stone in a desert,compact/compact_environmental_0453.mp3
mass/thin,compact,environmental,fern frond,tundra,a tightly coiled fern frond snapping in half on a tundra,compact/compact_environmental_0454.mp3
mass/thin,compact,environmental,obsidian piece,cave,a dense piece of obsidian dropping onto a cave floor in a cave,compact/compact_environmental_0455.mp3
mass/thin,compact,environmental,volcanic ash block,ocean,a severely compressed volcanic ash block crumbling on the ocean,compact/compact_environmental_0456.mp3
mass/thin,compact,environmental,twig bundle,alley,a tightly packed bundle of twigs hitting the ground in an alley,compact/compact_environmental_0457.mp3
mass/thin,compact,environmental,salt chunk,meadow,a dense chunk of salt cracking under a hammer in a meadow,compact/compact_environmental_0458.mp3
mass/thin,compact,environmental,pumice piece,swamp,a crushed piece of pumice grinding on stone in a swamp,compact/compact_environmental_0459.mp3
mass/thin,compact,environmental,dried root,volcano,a tightly coiled dried root splitting open near a volcano,compact/compact_environmental_0460.mp3
mass/thin,compact,organic,millipede,highway,a tightly coiled millipede shell dropping onto a rock on a highway,compact/compact_organic_0461.mp3
mass/thin,compact,organic,hard seed,rooftop,a dense hard seed hitting a wooden floor on a rooftop,compact/compact_organic_0462.mp3
mass/thin,compact,organic,armadillo shell,underwater,a balled up armadillo shell dropping onto dirt underwater,compact/compact_organic_0463.mp3
mass/thin,compact,organic,feather bundle,marsh,a tightly packed bundle of feathers brushing against wood in a marsh,compact/compact_organic_0464.mp3
mass/thin,compact,organic,bone piece,prairie,a crushed piece of bone grinding into powder on a prairie,compact/compact_organic_0465.mp3
mass/thin,compact,organic,snake skeleton,glacier,a tightly coiled snake skeleton shattering on a glacier,compact/compact_organic_0466.mp3
mass/thin,compact,organic,beeswax chunk,cliff,a dense chunk of beeswax dropping onto a table on a cliff,compact/compact_organic_0467.mp3
mass/thin,compact,organic,cartilage piece,canyon,a severely compressed piece of cartilage snapping in a canyon,compact/compact_organic_0468.mp3
mass/thin,compact,organic,fur ball,jungle,a tightly packed ball of fur hitting a wall in a jungle,compact/compact_organic_0469.mp3
mass/thin,compact,organic,ivory piece,trench,a dense piece of ivory dropping onto concrete in a trench,compact/compact_organic_0470.mp3
mass/thin,compact,organic,coral piece,dunes,a crushed piece of coral scraping across a rock on the dunes,compact/compact_organic_0471.mp3
mass/thin,compact,organic,dried gut,beach,a tightly coiled piece of dried gut snapping open on a beach,compact/compact_organic_0472.mp3
mass/thin,compact,organic,amber chunk,wasteland,a dense chunk of amber dropping onto a stone floor in a wasteland,compact/compact_organic_0473.mp3
mass/thin,compact,organic,hardwood piece,ravine,a severely compressed piece of hardwood cracking in a ravine,compact/compact_organic_0474.mp3
mass/thin,compact,organic,silk ball,reef,a tightly packed ball of silk dropping onto a table over a reef,compact/compact_organic_0475.mp3
mass/thin,compact,organic,dried kelp,crater,a dense piece of dried kelp cracking underfoot in a crater,compact/compact_organic_0476.mp3
mass/thin,compact,organic,spider leg,plateau,a tightly coiled spider leg snapping on a plateau,compact/compact_organic_0477.mp3
mass/thin,compact,domestic,umbrella,forest,a tightly folded umbrella snapping shut in a forest,compact/compact_domestic_0478.mp3
mass/thin,compact,domestic,sponge,desert,a severely compressed cleaning sponge springing back to shape in a desert,compact/compact_domestic_0479.mp3
mass/thin,compact,domestic,bath towel,tundra,a firmly rolled bath towel hitting a tile floor on a tundra,compact/compact_domestic_0480.mp3
mass/thin,compact,domestic,soda can,cave,a crushed aluminum soda can dropping onto concrete in a cave,compact/compact_domestic_0481.mp3
mass/thin,compact,domestic,flour bag,ocean,a densely packed bag of flour hitting a counter on the ocean,compact/compact_domestic_0482.mp3
mass/thin,compact,domestic,garden hose,alley,a tightly coiled garden hose dropping onto grass in an alley,compact/compact_domestic_0483.mp3
mass/thin,compact,domestic,mattress spring,meadow,a severely compressed mattress spring breaking loose in a meadow,compact/compact_domestic_0484.mp3
mass/thin,compact,domestic,newspaper,swamp,a tightly folded newspaper hitting a front porch in a swamp,compact/compact_domestic_0485.mp3
mass/thin,compact,domestic,cheese block,volcano,a dense block of cheese dropping onto a cutting board near a volcano,compact/compact_domestic_0486.mp3
mass/thin,compact,domestic,water bottle,highway,a crushed plastic water bottle popping back out on a highway,compact/compact_domestic_0487.mp3
mass/thin,compact,domestic,yarn ball,rooftop,a tightly coiled ball of yarn hitting a hardwood floor on a rooftop,compact/compact_domestic_0488.mp3
mass/thin,compact,domestic,bar soap,underwater,a dense piece of bar soap dropping into a tub underwater,compact/compact_domestic_0489.mp3
mass/thin,compact,domestic,couch cushion,marsh,a severely compressed couch cushion reinflating slightly in a marsh,compact/compact_domestic_0490.mp3
mass/thin,compact,domestic,cardboard box,prairie,a tightly folded cardboard box dropping onto a table on a prairie,compact/compact_domestic_0491.mp3
mass/thin,compact,domestic,sugar bag,glacier,a densely packed bag of sugar dropping onto the floor on a glacier,compact/compact_domestic_0492.mp3
mass/thin,compact,domestic,tin foil ball,cliff,a crushed tin foil ball bouncing off a wall on a cliff,compact/compact_domestic_0493.mp3
mass/thin,compact,domestic,extension cord,canyon,a tightly coiled extension cord hitting a concrete floor in a canyon,compact/compact_domestic_0494.mp3
mass/thin,compact,electronic,electrical wire,jungle,a tightly coiled electrical wire bundle dropping onto a desk in a jungle,compact/compact_electronic_0495.mp3
mass/thin,compact,electronic,ribbon cable,trench,a firmly folded ribbon cable snapping into a connector in a trench,compact/compact_electronic_0496.mp3
mass/thin,compact,electronic,lithium cell,dunes,a dense solid state lithium cell dropping onto a workbench on the dunes,compact/compact_electronic_0497.mp3
mass/thin,compact,electronic,micro sd card,beach,a crushed micro sd card snapping in half on a beach,compact/compact_electronic_0498.mp3
mass/thin,compact,electronic,circuit board components,wasteland,a block of tightly packed circuit board components rattling in a wasteland,compact/compact_electronic_0499.mp3
mass/thin,compact,electronic,rubber keypad,ravine,a severely compressed rubber keypad popping back out in a ravine,compact/compact_electronic_0500.mp3
mass/thin,compact,electronic,optical fibers,reef,a densely packed bundle of optical fibers snapping together over a reef,compact/compact_electronic_0501.mp3
mass/thin,compact,electronic,soldering wire,crater,a tightly coiled soldering wire dropping onto a table in a crater,compact/compact_electronic_0502.mp3
mass/thin,compact,electronic,battery case,plateau,a crushed plastic battery case fracturing on a plateau,compact/compact_electronic_0503.mp3
mass/thin,compact,electronic,smd capacitor,forest,a miniature surface mount capacitor dropping onto a hard surface in a forest,compact/compact_electronic_0504.mp3
mass/thin,compact,electronic,server blade,desert,a tightly packed server blade sliding into a rack in a desert,compact/compact_electronic_0505.mp3
mass/thin,compact,electronic,copper heat sink,tundra,a severely compressed copper heat sink clattering onto a bench on a tundra,compact/compact_electronic_0506.mp3
mass/thin,compact,electronic,copper shielding,cave,a tightly folded copper shielding unrolling slightly in a cave,compact/compact_electronic_0507.mp3
mass/thin,compact,electronic,magnetic core,ocean,a dense magnetic core dropping onto an iron plate on the ocean,compact/compact_electronic_0508.mp3
mass/thin,compact,electronic,junction box,alley,a crushed plastic junction box snapping closed in an alley,compact/compact_electronic_0509.mp3
mass/thin,compact,electronic,inductor wrap,meadow,a tightly coiled inductor wrap unspooling slightly in a meadow,compact/compact_electronic_0510.mp3
mass/thin,compact,electronic,resistor bundle,swamp,a densely packed bundle of resistors dropping onto a mat in a swamp,compact/compact_electronic_0511.mp3
mass/thin,weak,musical,nylon guitar string,volcano,a sagging nylon guitar string plucking lifelessly near a volcano,weak/weak_musical_0405.mp3
mass/thin,weak,musical,wooden drumstick,highway,a cracked wooden drumstick splintering on a drum head on a highway,weak/weak_musical_0406.mp3
mass/thin,weak,musical,accordion bellows,rooftop,a failing accordion bellows wheezing out air on a rooftop,weak/weak_musical_0407.mp3
mass/thin,weak,musical,drumhead,underwater,a loose drumhead flapping softly under a stick hit underwater,weak/weak_musical_0408.mp3
mass/thin,weak,musical,piano wire,marsh,a decayed piano wire snapping under slight tension in a marsh,weak/weak_musical_0409.mp3
mass/thin,weak,musical,violin bridge,prairie,a frail violin bridge collapsing under string pressure on a prairie,weak/weak_musical_0410.mp3
mass/thin,weak,musical,brass reed,glacier,a deteriorating brass reed failing to vibrate properly on a glacier,weak/weak_musical_0411.mp3
mass/thin,weak,musical,cello bow,cliff,a fragile cello bow snapping under a light stroke on a cliff,weak/weak_musical_0412.mp3
mass/thin,weak,musical,plastic guitar pick,canyon,a yielding plastic guitar pick bending against a string in a canyon,weak/weak_musical_0413.mp3
mass/thin,weak,musical,felt piano hammer,jungle,a decayed felt piano hammer falling off its shank in a jungle,weak/weak_musical_0414.mp3
mass/thin,weak,musical,brass valve spring,trench,a failing spring on a brass valve sluggishly returning in a trench,weak/weak_musical_0415.mp3
mass/thin,weak,musical,cymbal stand,dunes,a loose cymbal stand tilting and hitting the floor on the dunes,weak/weak_musical_0416.mp3
mass/thin,weak,musical,flute cork,beach,a decayed cork breaking off a flute joint on a beach,weak/weak_musical_0417.mp3
mass/thin,weak,musical,drum lug,wasteland,a frail drum lug snapping under tension in a wasteland,weak/weak_musical_0418.mp3
mass/thin,weak,musical,tambourine skin,ravine,a yielding tambourine skin tearing under a thumb roll in a ravine,weak/weak_musical_0419.mp3
mass/thin,weak,musical,bass drum pedal spring,reef,a failing pedal spring on a bass drum snapping over a reef,weak/weak_musical_0420.mp3
mass/thin,weak,musical,banjo bridge,crater,a loose banjo bridge slipping out of place in a crater,weak/weak_musical_0421.mp3
mass/thin,weak,mechanical,electric motor,plateau,a dying electric motor sputtering to a halt on a plateau,weak/weak_mechanical_0422.mp3
mass/thin,weak,mechanical,rubber engine belt,forest,a slipping rubber engine belt rubbing loosely against a pulley in a forest,weak/weak_mechanical_0423.mp3
mass/thin,weak,mechanical,steel spring,desert,a rusted steel spring snapping with low force in a desert,weak/weak_mechanical_0424.mp3
mass/thin,weak,mechanical,gas engine,tundra,a sputtering gas engine dying slowly on a tundra,weak/weak_mechanical_0425.mp3
mass/thin,weak,mechanical,metal door latch,cave,a failing metal door latch slipping out of its strike plate in a cave,weak/weak_mechanical_0426.mp3
mass/thin,weak,mechanical,iron gear,ocean,a decayed iron gear grinding and losing teeth on the ocean,weak/weak_mechanical_0427.mp3
mass/thin,weak,mechanical,steel bolt,alley,a loose steel bolt stripping its threads softly in an alley,weak/weak_mechanical_0428.mp3
mass/thin,weak,mechanical,exhaust pipe,meadow,a deteriorating exhaust pipe crumbling under a gentle tap in a meadow,weak/weak_mechanical_0429.mp3
mass/thin,weak,mechanical,pneumatic valve,swamp,a failing pneumatic valve leaking air sluggishly in a swamp,weak/weak_mechanical_0430.mp3
mass/thin,weak,mechanical,metal hinge,volcano,a rusted metal hinge bending and snapping near a volcano,weak/weak_mechanical_0431.mp3
mass/thin,weak,mechanical,plastic pulley,highway,a loose plastic pulley wobbling on its shaft on a highway,weak/weak_mechanical_0432.mp3
mass/thin,weak,mechanical,leather driving belt,rooftop,a decayed leather driving belt tearing completely on a rooftop,weak/weak_mechanical_0433.mp3
mass/thin,weak,mechanical,metal bracket,underwater,a frail metal bracket snapping under minimal load underwater,weak/weak_mechanical_0434.mp3
mass/thin,weak,mechanical,hydraulic seal,marsh,a failing hydraulic seal bursting softly in a marsh,weak/weak_mechanical_0435.mp3
mass/thin,weak,mechanical,steel chain,prairie,a loose steel chain slipping off a sprocket on a prairie,weak/weak_mechanical_0436.mp3
mass/thin,weak,mechanical,iron spoke,glacier,a rusted iron spoke bending and snapping on a glacier,weak/weak_mechanical_0437.mp3
mass/thin,weak,mechanical,combustion cycle,cliff,a dying combustion cycle sputtering air in a cylinder on a cliff,weak/weak_mechanical_0438.mp3
mass/thin,weak,environmental,dirt clod,canyon,a crumbling dry dirt clod collapsing under its own weight in a canyon,weak/weak_environmental_0439.mp3
mass/thin,weak,environmental,icicle,jungle,a fragile melting icicle breaking off a branch in a jungle,weak/weak_environmental_0440.mp3
mass/thin,weak,environmental,wood ember,trench,a dying wood ember fading out and crackling softly in a trench,weak/weak_environmental_0441.mp3
mass/thin,weak,environmental,breeze,dunes,a frail breeze dying out through dry grass on the dunes,weak/weak_environmental_0442.mp3
mass/thin,weak,environmental,autumn leaf,beach,a decaying autumn leaf crumbling to dust on a beach,weak/weak_environmental_0443.mp3
mass/thin,weak,environmental,shale piece,wasteland,a loose piece of shale sliding down a gentle slope in a wasteland,weak/weak_environmental_0444.mp3
mass/thin,weak,environmental,mud bank,ravine,a deteriorating mud bank collapsing sluggishly in a ravine,weak/weak_environmental_0445.mp3
mass/thin,weak,environmental,branch,reef,a failing tree branch snapping under its own weight over a reef,weak/weak_environmental_0446.mp3
mass/thin,weak,environmental,frost piece,crater,a fragile piece of frost melting and dropping in a crater,weak/weak_environmental_0447.mp3
mass/thin,weak,environmental,stream,plateau,a dying stream trickling to a complete stop on a plateau,weak/weak_environmental_0448.mp3
mass/thin,weak,environmental,dry clay,forest,a crumbling piece of dry clay turning to powder in a forest,weak/weak_environmental_0449.mp3
mass/thin,weak,environmental,pumice piece,desert,a frail piece of pumice crushing easily in a desert,weak/weak_environmental_0450.mp3
mass/thin,weak,environmental,pebble,tundra,a loose pebble rolling to a sluggish halt on a tundra,weak/weak_environmental_0451.mp3
mass/thin,weak,environmental,log,cave,a decaying log collapsing softly into mulch in a cave,weak/weak_environmental_0452.mp3
mass/thin,weak,environmental,snow bridge,ocean,a failing snow bridge crumbling into the water on the ocean,weak/weak_environmental_0453.mp3
mass/thin,weak,environmental,crust piece,alley,a fragile piece of soil crust breaking softly in an alley,weak/weak_environmental_0454.mp3
mass/thin,weak,environmental,geyser,meadow,a dying geyser sputtering its final blast of steam in a meadow,weak/weak_environmental_0455.mp3
mass/thin,weak,organic,wood branch,swamp,a rotten wood branch crumbling under a gentle touch in a swamp,weak/weak_organic_0456.mp3
mass/thin,weak,organic,leaf,volcano,a decaying leaf turning to dust under a thumb near a volcano,weak/weak_organic_0457.mp3
mass/thin,weak,organic,dry bark,highway,a shedding piece of dry bark peeling softly off a tree on a highway,weak/weak_organic_0458.mp3
mass/thin,weak,organic,dried moth,rooftop,a fragile dried moth falling apart under a light breeze on a rooftop,weak/weak_organic_0459.mp3
mass/thin,weak,organic,animal bone,underwater,a failing animal bone snapping easily underwater,weak/weak_organic_0460.mp3
mass/thin,weak,organic,cartilage piece,marsh,a loose piece of cartilage tearing softly in a marsh,weak/weak_organic_0461.mp3
mass/thin,weak,organic,fruit,prairie,a decaying piece of fruit collapsing into itself on a prairie,weak/weak_organic_0462.mp3
mass/thin,weak,organic,animal breath,glacier,a dying animal breath sputtering out on a glacier,weak/weak_organic_0463.mp3
mass/thin,weak,organic,dried skin,cliff,a frail piece of dried skin peeling softly off a hide on a cliff,weak/weak_organic_0464.mp3
mass/thin,weak,organic,dried dung,canyon,a crumbling piece of dried dung splitting apart in a canyon,weak/weak_organic_0465.mp3
mass/thin,weak,organic,feather,jungle,a loose feather drifting to a halt on the ground in a jungle,weak/weak_organic_0466.mp3
mass/thin,weak,organic,tooth,trench,a decaying tooth fracturing under slight pressure in a trench,weak/weak_organic_0467.mp3
mass/thin,weak,organic,insect wing,dunes,a failing insect wing tearing under a raindrop on the dunes,weak/weak_organic_0468.mp3
mass/thin,weak,organic,spiderweb,beach,a fragile piece of spiderweb breaking softly in the wind on a beach,weak/weak_organic_0469.mp3
mass/thin,weak,organic,heartbeat,wasteland,a dying heartbeat slowing down to a stop in a wasteland,weak/weak_organic_0470.mp3
mass/thin,weak,organic,dried moss,ravine,a crumbling piece of dried moss disintegrating in a ravine,weak/weak_organic_0471.mp3
mass/thin,weak,organic,dried seaweed,reef,a frail piece of dried seaweed tearing easily over a reef,weak/weak_organic_0472.mp3
mass/thin,weak,domestic,cotton string,crater,a frayed cotton string breaking under minimal tension in a crater,weak/weak_domestic_0473.mp3
mass/thin,weak,domestic,mattress spring,plateau,a sagging metal mattress spring popping loosely on a plateau,weak/weak_domestic_0474.mp3
mass/thin,weak,domestic,plastic cup,forest,a cracked plastic cup yielding under a gentle squeeze in a forest,weak/weak_domestic_0475.mp3
mass/thin,weak,domestic,chair leg,desert,a failing chair leg snapping sluggishly under weight in a desert,weak/weak_domestic_0476.mp3
mass/thin,weak,domestic,fabric,tundra,a decaying piece of fabric tearing with minimal force on a tundra,weak/weak_domestic_0477.mp3
mass/thin,weak,domestic,doorknob,cave,a loose doorknob rattling weakly in its socket in a cave,weak/weak_domestic_0478.mp3
mass/thin,weak,domestic,glass ornament,ocean,a frail glass ornament shattering under its own weight on the ocean,weak/weak_domestic_0479.mp3
mass/thin,weak,domestic,lightbulb filament,alley,a failing lightbulb filament popping softly inside the bulb in an alley,weak/weak_domestic_0480.mp3
mass/thin,weak,domestic,wooden spoon,meadow,a decaying wooden spoon splintering in a bowl in a meadow,weak/weak_domestic_0481.mp3
mass/thin,weak,domestic,cabinet hinge,swamp,a loose cabinet hinge drooping and snapping in a swamp,weak/weak_domestic_0482.mp3
mass/thin,weak,domestic,stale bread,volcano,a crumbling piece of stale bread splitting apart near a volcano,weak/weak_domestic_0483.mp3
mass/thin,weak,domestic,ceramic saucer,highway,a fragile ceramic saucer cracking down the middle on a highway,weak/weak_domestic_0484.mp3
mass/thin,weak,domestic,zipper,rooftop,a failing plastic zipper separating softly on a rooftop,weak/weak_domestic_0485.mp3
mass/thin,weak,domestic,rubber band,underwater,a decaying rubber band snapping with very little force underwater,weak/weak_domestic_0486.mp3
mass/thin,weak,domestic,paper plate,marsh,a frail paper plate folding completely in half in a marsh,weak/weak_domestic_0487.mp3
mass/thin,weak,domestic,floorboard,prairie,a loose wooden floorboard sinking softly underfoot on a prairie,weak/weak_domestic_0488.mp3
mass/thin,weak,domestic,dried soap,glacier,a crumbling piece of dried soap turning to powder on a glacier,weak/weak_domestic_0489.mp3
mass/thin,weak,electronic,lithium battery,cliff,a dying lithium battery sparking softly on a cliff,weak/weak_electronic_0490.mp3
